what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1332127501994
error,log,,,"Core exception while retrieving the content description",1332127501998
error,log,,,"Core exception while retrieving the content description",1332127502002
error,log,,,"Core exception while retrieving the content description",1332127502007
error,log,,,"Core exception while retrieving the content description",1332127502011
error,log,,,"Core exception while retrieving the content description",1332127502015
error,log,,,"Core exception while retrieving the content description",1332127502019
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332127502545
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332127503654
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332127520590
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1332127522148
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1332127524956
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332127532651
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332127538654
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1332127539798
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1332127541402
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1332127543868
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1332127544755
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332127553228
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332127568381
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332127571309
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332127808298
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332127810269
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332127813324
